book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
4953,https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius,A Heartbreaking Work of Staggering Genius (Paperback),Dave Eggers,3.68,"182,427",2000,1664,fiction
10846336-salvage-the-bones,https://www.goodreads.com/book/show/10846336-salvage-the-bones,Salvage the Bones (Hardcover),Jesmyn Ward,3.93,"55,987",2011,1664,fiction
7141642-the-thousand-autumns-of-jacob-de-zoet,https://www.goodreads.com/book/show/7141642-the-thousand-autumns-of-jacob-de-zoet,The Thousand Autumns of Jacob de Zoet (Hardcover),David Mitchell,3.96,"65,964",2010,1659,fiction
5349,https://www.goodreads.com/book/show/5349.The_Rainmaker,The Rainmaker (Paperback),John Grisham,3.96,"185,892",1995,1657,fiction
77392,https://www.goodreads.com/book/show/77392.Anne_of_the_Island,"Anne of the Island (Anne of Green Gables, #3)",L.M. Montgomery,4.23,"150,155",1915,1656,fiction
34507,https://www.goodreads.com/book/show/34507.Equal_Rites,"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,4.01,"162,727",1987,1655,fiction
19501,https://www.goodreads.com/book/show/19501.Eat_Pray_Love,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia (Paperback)",Elizabeth Gilbert,3.59,"1,587,418",2006,1651,fiction
45294613-dear-edward,https://www.goodreads.com/book/show/45294613-dear-edward,Dear Edward (Hardcover),Ann Napolitano,4.10,"123,030",2020,1649,fiction
35259724-behold-the-dreamers,https://www.goodreads.com/book/show/35259724-behold-the-dreamers,Behold the Dreamers (Paperback),Imbolo Mbue,3.93,"71,183",2016,1643,fiction
45152372-how-to-stop-time,https://www.goodreads.com/book/show/45152372-how-to-stop-time,How to Stop Time (Paperback),Matt Haig,3.86,"98,411",2017,1642,fiction
3777732-city-of-glass,https://www.goodreads.com/book/show/3777732-city-of-glass,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.29,"875,426",2009,1642,fiction
64216,https://www.goodreads.com/book/show/64216.Guards_Guards_,"Guards! Guards! (Discworld, #8; City Watch #1)",Terry Pratchett,4.28,"185,329",1989,1642,fiction
6837103-the-kitchen-house,https://www.goodreads.com/book/show/6837103-the-kitchen-house,The Kitchen House (Paperback),Kathleen Grissom,4.18,"252,854",2010,1641,fiction
414999,https://www.goodreads.com/book/show/414999.Childhood_s_End,Childhood's End (Mass Market Paperback),Arthur C. Clarke,4.10,"144,119",1953,1638,fiction
249,https://www.goodreads.com/book/show/249.Tropic_of_Cancer,"Tropic of Cancer (Tropic, #1)",Henry Miller,3.67,"69,507",1934,1638,fiction
15753740-the-storyteller,https://www.goodreads.com/book/show/15753740-the-storyteller,The Storyteller (Hardcover),Jodi Picoult,4.25,"190,050",2013,1637,fiction
1158967,https://www.goodreads.com/book/show/1158967.Garden_Spells,"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,4.02,"96,452",2007,1637,fiction
22816087-seveneves,https://www.goodreads.com/book/show/22816087-seveneves,Seveneves (Kindle Edition),Neal Stephenson,3.98,"106,200",2015,1636,fiction
5527,https://www.goodreads.com/book/show/5527.All_the_King_s_Men,All the King's Men (Paperback),Robert Penn Warren,4.06,"62,296",1946,1634,fiction
38374795-howards-end,https://www.goodreads.com/book/show/38374795-howards-end,Howards End (Paperback),E.M. Forster,3.94,"84,557",1910,1631,fiction
50033,https://www.goodreads.com/book/show/50033.Dandelion_Wine,"Dandelion Wine (Green Town, #1)",Ray Bradbury,4.05,"62,871",1957,1630,fiction
7048800-the-particular-sadness-of-lemon-cake,https://www.goodreads.com/book/show/7048800-the-particular-sadness-of-lemon-cake,The Particular Sadness of Lemon Cake (Hardcover),Aimee Bender,3.24,"64,193",2010,1630,fiction
