book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
16326,https://www.goodreads.com/book/show/16326.Death_in_the_Clouds,"Death in the Clouds (Hercule Poirot, #12)",Agatha Christie,3.85,"40,960",1935,524,crime
16335,https://www.goodreads.com/book/show/16335.The_Mystery_of_the_Blue_Train,"The Mystery of the Blue Train (Hercule Poirot, #6)",Agatha Christie,3.84,"45,380",1928,522,crime
11125,https://www.goodreads.com/book/show/11125.Digital_Fortress,Digital Fortress (Paperback),Dan Brown,3.68,"595,976",1998,519,crime
24244,https://www.goodreads.com/book/show/24244.The_Black_Ice,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)",Michael Connelly,4.09,"71,484",1993,519,crime
5359,https://www.goodreads.com/book/show/5359.The_Client,The Client (Paperback),John Grisham,4.03,"419,603",1993,518,crime
34275222-force-of-nature,https://www.goodreads.com/book/show/34275222-force-of-nature,"Force of Nature (Aaron Falk, #2)",Jane Harper,3.85,"85,044",2017,517,crime
32075854-magpie-murders,https://www.goodreads.com/book/show/32075854-magpie-murders,"Magpie Murders (Susan Ryeland, #1)",Anthony Horowitz,3.94,"89,042",2016,517,crime
23492589-finders-keepers,https://www.goodreads.com/book/show/23492589-finders-keepers,"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen King,4.04,"126,046",2015,514,crime
32506,https://www.goodreads.com/book/show/32506.The_Poet,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)",Michael Connelly,4.20,"93,090",1996,514,crime
33151805-into-the-water,https://www.goodreads.com/book/show/33151805-into-the-water,Into the Water (Hardcover),Paula Hawkins,3.59,"327,195",2017,510,crime
32499,https://www.goodreads.com/book/show/32499.The_Pelican_Brief,The Pelican Brief (Paperback),John Grisham,4.02,"405,135",1992,508,crime
2199587,https://www.goodreads.com/book/show/2199587.Fractured,"Fractured (Will Trent, #2)",Karin Slaughter,4.13,"61,163",2008,502,crime
9736930-before-i-go-to-sleep,https://www.goodreads.com/book/show/9736930-before-i-go-to-sleep,Before I Go to Sleep (Hardcover),S.J. Watson,3.89,"316,493",2011,501,crime
220969,https://www.goodreads.com/book/show/220969.Die_Trying,"Die Trying (Jack Reacher, #2)",Lee Child,4.04,"120,631",1998,501,crime
25574782-pretty-girls,https://www.goodreads.com/book/show/25574782-pretty-girls,Pretty Girls (Paperback),Karin Slaughter,4.01,"218,072",2015,500,crime
16360,https://www.goodreads.com/book/show/16360.Murder_in_Mesopotamia,"Murder in Mesopotamia (Hercule Poirot, #14)",Agatha Christie,3.92,"45,302",1936,498,crime
85379,https://www.goodreads.com/book/show/85379.Cruel_Unusual,"Cruel & Unusual (Kay Scarpetta, #4)",Patricia Cornwell,4.12,"107,036",1993,496,crime
16297,https://www.goodreads.com/book/show/16297.Cards_on_the_Table,"Cards on the Table (Hercule Poirot, #15)",Agatha Christie,3.94,"47,272",1936,495,crime
715834,https://www.goodreads.com/book/show/715834.The_Apprentice,"The Apprentice (Rizzoli & Isles, #2)",Tess Gerritsen,4.12,"59,477",2002,495,crime
2161733,https://www.goodreads.com/book/show/2161733.Child_44,"Child 44 (Leo Demidov, #1)",Tom Rob Smith,4.08,"86,438",2008,492,crime
51933429-the-guest-list,https://www.goodreads.com/book/show/51933429-the-guest-list,The Guest List (Hardcover),Lucy Foley,3.85,"458,379",2020,489,crime
136081,https://www.goodreads.com/book/show/136081.Dearly_Devoted_Dexter,"Dearly Devoted Dexter (Dexter, #2)",Jeff Lindsay,3.87,"49,935",2005,489,crime
47212,https://www.goodreads.com/book/show/47212.Storm_Front,"Storm Front (The Dresden Files, #1)",Jim Butcher,3.98,"324,455",2000,483,crime
2050,https://www.goodreads.com/book/show/2050.Farewell_My_Lovely,"Farewell, My Lovely (Paperback)",Raymond Chandler,4.10,"38,597",1940,482,crime
18142329-police,https://www.goodreads.com/book/show/18142329-police,"Police (Harry Hole, #10)",Jo Nesbø,4.21,"40,595",2013,481,crime
10814687-whispers-under-ground,https://www.goodreads.com/book/show/10814687-whispers-under-ground,"Whispers Under Ground (Rivers of London, #3)",Ben Aaronovitch,4.15,"48,620",2012,478,crime
