,book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre,num_likes,rating_num_like,weighted_review_score
30,4667024-the-help,https://www.goodreads.com/book/show/4667024-the-help,The Help (Hardcover),Kathryn Stockett,4.46,"2,364,509",2009,12903,fiction,8980,28628.0,3.1879732739420934
31,19288043-gone-girl,https://www.goodreads.com/book/show/19288043-gone-girl,Gone Girl (Paperback),Gillian Flynn,4.09,"2,583,591",2012,12757,fiction,22327,70583.0,3.161329332198683
32,960,https://www.goodreads.com/book/show/960.Angels_Demons,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.92,"2,883,214",2000,12512,fiction,4849,17748.0,3.6601361105382555
33,10210,https://www.goodreads.com/book/show/10210.Jane_Eyre,Jane Eyre (Paperback),Charlotte Brontë,4.13,"1,785,714",1847,11941,fiction,19797,88356.0,4.463100469768147
34,11870085-the-fault-in-our-stars,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,The Fault in Our Stars (Hardcover),John Green,4.18,"4,066,157",2012,11548,fiction,26561,82178.0,3.0939347163133917
35,18143977-all-the-light-we-cannot-see,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,All the Light We Cannot See (Hardcover),Anthony Doerr,4.32,"1,211,340",2014,11341,fiction,29521,113582.0,3.8474983909759155
36,386162,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,"1,589,792",1979,11267,fiction,8920,36361.0,4.076345291479821
37,5297,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,The Picture of Dorian Gray (Paperback),Oscar Wilde,4.1,"1,122,712",1890,11099,fiction,18621,82890.0,4.451425809569841
38,320,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude (Mass Market Paperback),Gabriel García Márquez,4.09,"826,957",1967,11046,fiction,12562,46579.0,3.707928673778061
39,13496,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,"2,171,040",1996,10932,fiction,16404,49100.0,2.9931723969763473
40,6288,https://www.goodreads.com/book/show/6288.The_Road,The Road (Hardcover),Cormac McCarthy,3.97,"783,373",2006,10857,fiction,12058,43121.0,3.5761320285287774
41,929,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,Memoirs of a Geisha (Mass Market Paperback),Arthur Golden,4.13,"1,822,228",1997,10827,fiction,5699,18693.0,3.280049131426566
