book_title,author_name,ratings,num_of_ratings,date_published
"Killing Floor (Jack Reacher, #1)",Lee Child,4.05,"278,543",1997
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.06,"187,596",1985
Britt-Marie Was Here (Hardcover),Fredrik Backman,4.05,"118,863",2014
The Sisters Brothers (Hardcover),Patrick deWitt,3.82,"97,877",2011
"The Once and Future King (The Once and Future King, #1-4)",T.H. White,4.04,"109,133",1958
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,3.99,"395,269",2005
Native Son (Paperback),Richard Wright,3.99,"95,946",1940
Mother Night (Paperback),Kurt Vonnegut Jr.,4.19,"85,665",1961
Bleak House (Paperback),Charles Dickens,4.00,"106,248",1853
The Divine Comedy (Hardcover),Dante Alighieri,4.04,"135,597",1320
Sula (Paperback),Toni Morrison,3.96,"76,287",1973
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.77,"219,190",1974
Survivor (Paperback),Chuck Palahniuk,3.91,"118,764",1999
Revolutionary Road (Paperback),Richard Yates,3.90,"84,657",1961
The Sellout (Hardcover),Paul Beatty,3.75,"65,274",2015
"Dune Messiah (Dune Chronicles, #2)",Frank Herbert,3.89,"173,226",1969
Her Fearful Symmetry (Hardcover),Audrey Niffenegger,3.27,"93,738",2009
"Voyager (Outlander, #3)",Diana Gabaldon,4.36,"280,325",1993
The Maltese Falcon (Paperback),Dashiell Hammett,3.89,"102,404",1930
Shutter Island (Mass Market Paperback),Dennis Lehane,4.07,"188,510",2003
The Mothers (Hardcover),Brit Bennett,3.89,"92,104",2016
"The Kiss Quotient (The Kiss Quotient, #1)",Helen Hoang,3.92,"222,003",2018
The Bonfire of the Vanities (Paperback),Tom Wolfe,3.86,"77,157",1987
On Beauty (Paperback),Zadie Smith,3.73,"79,409",2005
"The Nanny Diaries (Nanny, #1)",Emma McLaughlin,3.44,"375,556",2002
"The Reptile Room (A Series of Unfortunate Events, #2)",Lemony Snicket,3.98,"205,867",1999
The Pact (Paperback),Jodi Picoult,4.01,"286,843",1998
The Silver Linings Playbook (Paperback),Matthew Quick,3.98,"155,026",2008
Vanity Fair (Paperback),William Makepeace Thackeray,3.79,"123,865",1848
"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,4.08,"197,165",2018
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.03,"510,573",1994
"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,3.31,"136,439",2009
Sphere (Paperback),Michael Crichton,3.81,"178,576",1987
"The Waste Lands (The Dark Tower, #3)",Stephen King,4.22,"202,358",1991
"American Pastoral (The American Trilogy, #1)",Philip Roth,3.92,"72,526",1997
"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,3.92,"133,609",1890
"Small Gods (Discworld, #13)",Terry Pratchett,4.29,"107,129",1992
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,4.44,"499,670",2012
"Sleeping Giants (Themis Files, #1)",Sylvain Neuvel,3.83,"79,128",2016
Chess Story (Paperback),Stefan Zweig,4.27,"88,518",1942
March (Paperback),Geraldine Brooks,3.74,"63,503",2005
Corelli's Mandolin (Paperback),Louis de Bernières,3.99,"81,877",1994
"Binti (Binti, #1)",Nnedi Okorafor,3.91,"59,311",2015
The Windup Girl (Hardcover),Paolo Bacigalupi,3.74,"74,234",2009
Redeeming Love (Paperback),Francine Rivers,4.49,"238,497",1991
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.78,"228,495",2003
Cold Comfort Farm (Paperback),Stella Gibbons,3.89,"46,120",1932
"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #15)",Michael Connelly,4.17,"214,006",2005
"O Pioneers! (Great Plains Trilogy, #1)",Willa Cather,3.88,"47,866",1913
State of Fear (Mass Market Paperback),Michael Crichton,3.71,"84,443",2004
Ragtime (Paperback),E.L. Doctorow,3.88,"40,788",1975
"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,3.98,"220,145",2005
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.09,"541,997",2011
Bastard Out of Carolina (Paperback),Dorothy Allison,4.12,"40,528",1992
Men Without Women (Kindle Edition),Haruki Murakami,3.77,"67,066",2014
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.59,"558,001",2016
The Epic of Gilgamesh (Paperback),Anonymous,3.71,"87,454",-1800
The Bloody Chamber and Other Stories (Paperback),Angela Carter,3.96,"44,136",1979
"The Rules of Magic (Practical Magic, #0.2)",Alice Hoffman,3.98,"85,946",2017
Airframe (Paperback),Michael Crichton,3.73,"81,302",1996
The Beautiful and Damned (Paperback),F. Scott Fitzgerald,3.75,"48,423",1922
"Tales of the City (Tales of the City, #1)",Armistead Maupin,4.02,"39,459",1978
"Scythe (Arc of a Scythe, #1)",Neal Shusterman,4.31,"195,188",2016
The Little Stranger (Paperback),Sarah Waters,3.58,"52,044",2009
The Little Friend (Paperback),Donna Tartt,3.46,"58,374",2002
"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,3.73,"291,684",2002
The Lake House (Hardcover),Kate Morton,4.05,"105,296",2015
Underworld (Paperback),Don DeLillo,3.93,"28,254",1997
"The Book of Life (All Souls Trilogy, #3)",Deborah Harkness,4.17,"164,216",2014
Even Cowgirls Get the Blues (Paperback),Tom Robbins,3.77,"51,094",1976
Stay with Me (Hardcover),Ayọ̀bámi Adébáyọ̀,4.06,"45,122",2017
What We Talk About When We Talk About Love (Paperback),Raymond Carver,4.12,"52,233",1981
American War (Kindle Edition),Omar El Akkad,3.78,"32,817",2017
The Lottery and Other Stories (Paperback),Shirley Jackson,4.05,"68,081",1949
"La Belle Sauvage (The Book of Dust, #1)",Philip Pullman,4.13,"91,619",2017
NOS4A2 (Hardcover),Joe Hill,4.08,"112,289",2013
Silence (Paperback),Shūsaku Endō,4.06,"28,192",1966
"Perdido Street Station (New Crobuzon, #1)",China Miéville,3.95,"68,673",2000
The Strange Library (Paperback),Haruki Murakami,3.56,"46,609",2001
If Beale Street Could Talk (Paperback),James Baldwin,4.27,"41,872",1974
Every Heart a Doorway (Wayward Children #1),Seanan McGuire,3.81,"89,525",2016
Dolores Claiborne (ebook),Stephen King,3.89,"135,428",1992
The Yellow Wallpaper and Other Stories (Paperback),Charlotte Perkins Gilman,4.05,"83,538",1892
Night Shift (Paperback),Stephen King,4.02,"157,161",1978
The Prophet (Paperback),Kahlil Gibran,4.21,"261,164",1923
"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,4.09,"243,602",2011
We (Paperback),Yevgeny Zamyatin,3.90,"83,163",1924
City of Girls (Paperback),Elizabeth Gilbert,4.04,"217,496",2019
"Ask Again, Yes (Hardcover)",Mary Beth Keane,3.96,"155,158",2019
Attachments (Hardcover),Rainbow Rowell,3.88,"187,099",2011
Different Seasons (Mass Market Paperback),Stephen King,4.32,"190,911",1982
Death of a Salesman (Hardcover),Arthur  Miller,3.55,"204,426",1949
My Name Is Lucy Barton (Hardcover),Elizabeth Strout,3.53,"123,361",2016
"The Year of the Flood (MaddAddam, #2)",Margaret Atwood,4.03,"119,941",2009
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.97,"622,092",2012
The Bone Clocks (Hardcover),David Mitchell,3.83,"91,425",2014
The BFG (Paperback),Roald Dahl,4.20,"422,228",1982
"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,4.25,"208,093",2011
Possession (Paperback),A.S. Byatt,3.87,"81,495",1990
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.47,"562,598",2015
The Woman in White (Paperback),Wilkie Collins,3.99,"144,851",1859
Where the Wild Things Are (Paperback),Maurice Sendak,4.22,"893,794",1963
"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,4.04,"169,913",1994
The Art of Fielding (Hardcover),Chad Harbach,3.96,"114,391",2011
"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,3.92,"114,303",1962
"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,4.07,"236,205",1986
About a Boy (Mass Market Paperback),Nick Hornby,3.79,"132,668",1998
Nine Stories (Paperback),J.D. Salinger,4.17,"140,926",1953
Othello (Paperback),William Shakespeare,3.89,"341,782",1603
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.25,"259,512",2006
Let the Great World Spin (Hardcover),Colum McCann,3.92,"104,735",2009
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.60,"367,307",2010
The Orphan Master's Son (Hardcover),Adam Johnson,4.03,"99,388",2012
Number the Stars (Mass Market Paperback),Lois Lowry,4.15,"497,332",1989
The Sirens of Titan (Paperback),Kurt Vonnegut Jr.,4.13,"127,832",1959
We Are All Completely Beside Ourselves (Hardcover),Karen Joy Fowler,3.70,"115,223",2013
Naked Lunch (Paperback),William S. Burroughs,3.46,"90,056",1959
"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,4.08,"153,335",2017
"Tinker, Tailor, Soldier, Spy (George Smiley, #5; Karla Trilogy #1)",John le Carré,4.03,"90,917",1974
Beach Read (Paperback),Emily Henry,4.05,"294,768",2020
Journey to the Center of the Earth (Paperback),Jules Verne,3.86,"171,699",1864
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.82,"180,390",1979
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,"806,477",2011
Stories of Your Life and Others (ebook),Ted Chiang,4.22,"81,408",2002
Fantastic Beasts and Where to Find Them (Hogwarts Library),Newt Scamander,3.96,"373,445",2001
The Tiger's Wife (Hardcover),Téa Obreht,3.42,"100,844",2011
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.18,"169,473",1909
"Fall of Giants (The Century Trilogy, #1)",Ken Follett,4.27,"298,919",2010
Far From the Madding Crowd (Paperback),Thomas Hardy,3.94,"139,203",1874
The Interestings (Hardcover),Meg Wolitzer,3.58,"114,823",2013
Into the Water (Hardcover),Paula Hawkins,3.59,"326,711",2017
"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,3.82,"161,660",2009
Malibu Rising (Hardcover),Taylor Jenkins Reid,4.11,"235,714",2021
Purple Hibiscus (Paperback),Chimamanda Ngozi Adichie,4.16,"91,475",2003
The Buried Giant (Hardcover),Kazuo Ishiguro,3.54,"85,268",2015
"Uglies (Uglies, #1)",Scott Westerfeld,3.85,"607,517",2005
An Abundance of Katherines (Hardcover),John Green,3.55,"490,331",2006
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.85,"535,814",2001
Shōgun (Paperback),James Clavell,4.39,"158,363",1975
If I Stay (Hardcover),Gayle Forman,3.93,"778,021",2009
People of the Book (Hardcover),Geraldine Brooks,4.00,"137,703",2008
Truly Madly Guilty (Hardcover),Liane Moriarty,3.58,"264,579",2016
The Turn of the Screw (Paperback),Henry James,3.42,"128,154",1898
The Satanic Verses (Paperback),Salman Rushdie,3.70,"60,399",1988
The Wind in the Willows (Paperback),Kenneth Grahame,3.98,"194,287",1908
"The Dispossessed (Hainish Cycle, #6)",Ursula K. Le Guin,4.20,"102,720",1974
The Spy Who Came In from the Cold (Paperback),John le Carré,4.04,"99,123",1963
Recursion (Hardcover),Blake Crouch,4.14,"153,211",2019
After Dark (Hardcover),Haruki Murakami,3.72,"126,908",2004
The Complete Sherlock Holmes (Paperback),Arthur Conan Doyle,4.46,"187,761",1927
"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,4.09,"154,741",1984
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.25,"262,241",1986
"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.67,"681,514",2000
The House in the Cerulean Sea (Kindle Edition),T.J. Klune,4.47,"191,844",2020
White Fang (Mass Market Paperback),Jack London,3.99,"167,995",1906
The Alice Network (Paperback),Kate Quinn,4.28,"327,984",2017
The Yiddish Policemen's Union (Hardcover),Michael Chabon,3.71,"80,954",2007
"The Drawing of the Three (The Dark Tower, #2)",Stephen King,4.21,"235,700",1987
The Lost World (Jurassic Park #2),Michael Crichton,3.81,"139,431",1995
The Big Sleep (Paperback),Raymond Chandler,3.95,"145,757",1939
The Paris Wife (Hardcover),Paula McLain,3.81,"285,596",2011
Tell the Wolves I'm Home (Hardcover),Carol Rifka Brunt,4.02,"133,843",2012
"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,3.98,"312,215",1920
Major Pettigrew's Last Stand (Hardcover),Helen Simonson,3.89,"135,187",2010
A Monster Calls (Paperback),Patrick Ness,4.31,"240,914",2011
Timeline (Mass Market Paperback),Michael Crichton,3.86,"201,601",1999
"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,3.82,"180,250",2015
The Nest (Paperback),Cynthia D'Aprix Sweeney,3.42,"165,824",2016
Trainspotting (Mark Renton #2),Irvine Welsh,4.05,"168,063",1993
Klara and the Sun (Hardcover),Kazuo Ishiguro,3.81,"110,455",2021
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.11,"202,246",1982
The Starless Sea (Hardcover),Erin Morgenstern,3.84,"137,272",2019
The Death of Ivan Ilych (Paperback),Leo Tolstoy,4.09,"113,579",1886
Island of the Blue Dolphins (Kindle Edition),Scott O'Dell,3.84,"315,484",1960
City of Thieves (Hardcover),David Benioff,4.24,"135,226",2008
Prodigal Summer (Paperback),Barbara Kingsolver,4.00,"104,702",2000
Invisible Cities (Paperback),Italo Calvino,4.10,"71,139",1972
"After You (Me Before You, #2)",Jojo Moyes,3.73,"331,489",2015
"World Without End (Kingsbridge, #2)",Ken Follett,4.26,"224,136",2007
The Hunchback of Notre-Dame (Paperback),Victor Hugo,4.00,"184,658",1831
Wide Sargasso Sea (Paperback),Jean Rhys,3.60,"76,982",1966
The Dinner (Kindle Edition),Herman Koch,3.25,"144,504",2009
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.53,"477,592",2011
"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.24,"192,903",1926
"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,4.08,"116,925",2013
A Little Princess (Paperback),Frances Hodgson Burnett,4.20,"287,033",1905
To Kill a Mockingbird (Paperback),Harper Lee,4.27,"5,025,333",1960
1984 (Kindle Edition),George Orwell,4.19,"3,609,831",1949
The Great Gatsby (Paperback),F. Scott Fitzgerald,3.93,"4,217,051",1925
Animal Farm (Mass Market Paperback),George Orwell,3.97,"3,105,131",1945
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,"8,031,019",1997
The Catcher in the Rye (Paperback),J.D. Salinger,3.81,"2,996,341",1951
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,"7,056,494",2008
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,"2,095,432",2003
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.12,"1,659,751",1985
The Kite Runner (Paperback),Khaled Hosseini,4.32,"2,665,159",2003
The Alchemist (Paperback),Paulo Coelho,3.89,"2,401,212",1988
Pride and Prejudice (Paperback),Jane Austen,4.27,"3,407,109",1813
Lord of the Flies (Paperback),William Golding,3.69,"2,485,000",1954
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,"3,099,289",1998
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,"3,236,428",1999
"The Hobbit, or There and Back Again (Paperback)",J.R.R. Tolkien,4.28,"3,219,218",1937
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56,"2,915,569",2000
Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.98,"1,919,413",1953
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,"2,721,637",2005
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.61,"3,119,213",2007
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,"2,807,986",2003
Brave New World (Paperback),Aldous Huxley,3.99,"1,589,792",1932
The Book Thief (Hardcover),Markus Zusak,4.38,"2,072,076",2005
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.30,"2,840,060",2009
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.15,"2,837,471",2005
Life of Pi (Paperback),Yann Martel,3.92,"1,443,833",2001
Of Mice and Men (Paperback),John Steinbeck,3.88,"2,130,133",1937
The Curious Incident of the Dog in the Night-Time (Paperback),Mark Haddon,3.89,"1,307,319",2003
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.05,"2,623,066",2010
Slaughterhouse-Five (Paperback),Kurt Vonnegut Jr.,4.08,"1,218,042",1969
The Help (Hardcover),Kathryn Stockett,4.46,"2,364,509",2009
Gone Girl (Paperback),Gillian Flynn,4.09,"2,583,591",2012
"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.92,"2,883,214",2000
Jane Eyre (Paperback),Charlotte Brontë,4.13,"1,785,714",1847
The Fault in Our Stars (Hardcover),John Green,4.18,"4,066,157",2012
All the Light We Cannot See (Hardcover),Anthony Doerr,4.32,"1,211,340",2014
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,"1,589,792",1979
The Picture of Dorian Gray (Paperback),Oscar Wilde,4.10,"1,122,712",1890
One Hundred Years of Solitude (Mass Market Paperback),Gabriel García Márquez,4.09,"826,957",1967
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,"2,171,040",1996
The Road (Hardcover),Cormac McCarthy,3.97,"783,373",2006
Memoirs of a Geisha (Mass Market Paperback),Arthur Golden,4.13,"1,822,228",1997
Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,3.83,"1,292,962",1818
The Girl on the Train (Hardcover),Paula Hawkins,3.94,"2,397,514",2015
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.37,"2,522,517",1954
Catch-22 (Paperback),Joseph Heller,3.98,"767,732",1961
The Lovely Bones (Mass Market Paperback),Alice Sebold,3.83,"2,148,798",2002
The Time Traveler's Wife (ebook),Audrey Niffenegger,3.98,"1,662,247",2003
Water for Elephants (Paperback),Sara Gruen,4.09,"1,471,651",2006
Wuthering Heights (Paperback),Emily Brontë,3.87,"1,491,034",1847
The Price of Salt (Paperback),Patricia Highsmith,3.99,"51,811",1952
"Absalom, Absalom! (Paperback)",William Faulkner,3.97,"40,544",1936
Pigs in Heaven (Paperback),Barbara Kingsolver,3.95,"60,201",1993
One Day in December (Paperback),Josie Silver,3.91,"203,396",2018
Aesop's Fables (Paperback),Aesop,4.05,"120,730",-560
Demons (Paperback),Fyodor Dostoevsky,4.29,"41,732",1872
"Lethal White (Cormoran Strike, #4)",Robert Galbraith,4.20,"142,649",2018
Slade House (Kindle Edition),David Mitchell,3.81,"56,218",2015
Elevation (Hardcover),Stephen King,3.67,"95,885",2018
Manhattan Beach (Hardcover),Jennifer Egan,3.62,"78,880",2017
Before I Fall (Paperback),Lauren Oliver,3.89,"321,738",2010
Messenger (Paperback),Lois Lowry,3.91,"125,571",2004
"Delirium (Delirium, #1)",Lauren Oliver,3.96,"447,560",2011
"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,3.87,"266,604",2003
How to Be Good (Paperback),Nick Hornby,3.23,"56,631",2001
The Tenth Circle (Paperback),Jodi Picoult,3.51,"124,805",2006
The Good Girl (Hardcover),Mary Kubica,3.82,"215,686",2014
Heidi (Paperback),Johanna Spyri,4.00,"182,877",1880
The Hotel New Hampshire (Paperback),John Irving,3.91,"60,715",1981
Eye of the Needle (Paperback),Ken Follett,4.18,"145,989",1978
"The Killer Angels (The Civil War Trilogy, #2)",Michael Shaara,4.31,"80,412",1974
Verity (ebook),Colleen Hoover,4.37,"375,941",2018
The Razor's Edge (Paperback),W. Somerset Maugham,4.19,"39,693",1944
Cell (Mass Market Paperback),Stephen King,3.66,"207,535",2006
The Inheritance of Loss (Paperback),Kiran Desai,3.44,"49,459",2005
"Every Day (Every Day, #1)",David Levithan,3.92,"214,395",2012
The Dog Stars (Hardcover),Peter Heller,3.94,"56,150",2012
Skipping Christmas (Paperback),John Grisham,3.51,"62,965",2001
The Complete Grimm's Fairy Tales (Paperback),Jacob Grimm,4.27,"153,373",1812
Battle Royale (Paperback),Koushun Takami,4.17,"71,037",1999
"The Vile Village (A Series of Unfortunate Events, #7)",Lemony Snicket,3.96,"127,630",2001
People We Meet on Vacation (Paperback),Emily Henry,4.10,"237,629",2021
People We Meet on Vacation (Paperback),Emily Henry,4.10,"237,629",2021
"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,3.88,"395,380",2013
Salt to the Sea (Hardcover),Ruta Sepetys,4.33,"154,686",2016
Anathem (Hardcover),Neal Stephenson,4.14,"70,728",2008
"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,4.11,"145,719",1973
"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,4.30,"100,820",2017
"Wyrd Sisters (Discworld, #6; Witches #2)",Terry Pratchett,4.11,"105,269",1988
"Kane & Abel (Kane & Abel, #1)",Jeffrey Archer,4.30,"109,769",1971
The Book Woman of Troublesome Creek (Paperback),Kim Michele Richardson,4.22,"123,659",2019
"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",Lewis Carroll,4.04,"125,611",1871
"The Last Kingdom (The Saxon Stories, #1)",Bernard Cornwell,4.24,"84,613",2004
"Perelandra (The Space Trilogy, #2)",C.S. Lewis,3.97,"46,630",1943
The Tale of Despereaux (Paperback),Kate DiCamillo,4.03,"179,525",2003
Bag of Bones (Mass Market Paperback),Stephen King,3.91,"182,997",1998
The Southern Book Club's Guide to Slaying Vampires (Kindle Edition),Grady Hendrix,3.83,"98,627",2020
Labyrinths: Selected Stories & Other Writings (Paperback),Jorge Luis Borges,4.45,"28,958",1962
Because of Winn-Dixie (Paperback),Kate DiCamillo,4.06,"225,618",2000
I Am Legend and Other Stories (Paperback),Richard Matheson,4.01,"125,628",1954
Siddhartha (Mass Market Paperback),Hermann Hesse,4.04,"647,212",1922
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.27,"533,719",2001
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.40,"839,756",1998
Flowers for Algernon (Paperback),Daniel Keyes,4.16,"537,479",1959
Station Eleven (Hardcover),Emily St. John Mandel,4.05,"372,709",2014
East of Eden (Paperback),John Steinbeck,4.38,"464,766",1952
Heart of Darkness (Paperback),Joseph Conrad,3.44,"453,994",1899
And Then There Were None (Paperback),Agatha Christie,4.26,"996,440",1939
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.23,"614,971",1990
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.99,"1,112,688",1962
"Moby-Dick or, the Whale (Paperback)",Herman Melville,3.52,"505,479",1851
Emma (Paperback),Jane Austen,4.02,"728,484",1815
Beloved (Paperback),Toni Morrison,3.90,"360,183",1987
Romeo and Juliet (Mass Market Paperback),William Shakespeare,3.75,"2,233,920",1597
The Guernsey Literary and Potato Peel Pie Society (Paperback),Mary Ann Shaffer,4.17,"671,639",2008
"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.73,"566,773",2009
The Adventures of Tom Sawyer (Paperback),Mark Twain,3.92,"823,449",1876
The Unbearable Lightness of Being (Paperback),Milan Kundera,4.10,"381,052",1984
Normal People (Hardcover),Sally Rooney,3.85,"654,542",2018
Love in the Time of Cholera (Paperback),Gabriel García Márquez,3.92,"448,573",1985
A Christmas Carol (Paperback),Charles Dickens,4.06,"672,266",1843
The Shining (Paperback),Stephen King,4.24,"1,251,521",1977
The Brothers Karamazov (Paperback),Fyodor Dostoevsky,4.32,"272,013",1879
"Where'd You Go, Bernadette (Hardcover)",Maria Semple,3.88,"521,195",2012
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.50,"655,813",2017
"Me Before You (Me Before You, #1)",Jojo Moyes,4.25,"1,315,104",2012
Cat's Cradle (Paperback),Kurt Vonnegut Jr.,4.16,"359,495",1963
Rebecca (ebook),Daphne du Maurier,4.23,"525,617",1938
Americanah (Hardcover),Chimamanda Ngozi Adichie,4.30,"314,027",2013
The Joy Luck Club (Paperback),Amy Tan,3.94,"629,091",1989
Norwegian Wood (Paperback),Haruki Murakami,4.03,"426,138",1987
Kafka on the Shore (Paperback),Haruki Murakami,4.13,"361,369",2002
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.00,"1,384,669",1995
My Sister's Keeper (Paperback),Jodi Picoult,4.08,"1,114,798",2004
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.71,"316,879",1958
Atonement (Paperback),Ian McEwan,3.91,"473,414",2001
Atlas Shrugged (Paperback),Ayn Rand,3.69,"370,247",1957
The Stand (Hardcover),Stephen King,4.33,"680,007",1978
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.32,"695,296",1989
Cloud Atlas (Paperback),David Mitchell,3.99,"236,504",2004
The Princess Bride (Paperback),William Goldman,4.25,"834,844",1973
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.06,"855,717",1990
Everything I Never Told You (Hardcover),Celeste Ng,3.86,"416,876",2014
Les Misérables (Mass Market Paperback),Victor Hugo,4.18,"727,445",1862
The Vanishing Half (Hardcover),Brit Bennett,4.21,"476,153",2020
The Outsiders (Mass Market Paperback),S.E. Hinton,4.10,"1,065,389",1967
"The Rosie Project (Don Tillman, #1)",Graeme Simsion,4.01,"494,875",2013
Extremely Loud & Incredibly Close (Paperback),Jonathan Safran Foer,3.96,"405,291",2005
The Odyssey (Paperback),Homer,3.78,"929,758",-800
A Gentleman in Moscow (Paperback),Amor Towles,4.32,"382,359",2016
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.15,"281,906",1968
A Room with a View (Paperback),E.M. Forster,3.91,"161,466",1908
The Jungle (Paperback),Upton Sinclair,3.75,"134,029",1905
Nineteen Minutes (Hardcover),Jodi Picoult,4.12,"321,324",2007
"The Passage (The Passage, #1)",Justin Cronin,4.02,"205,598",2010
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.06,"257,993",2015
Beowulf (Paperback),Unknown,3.46,"263,875",900
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.07,"476,234",2001
Foucault's Pendulum (Paperback),Umberto Eco,3.90,"66,081",1988
"Hatchet (Brian's Saga, #1)",Gary Paulsen,3.75,"342,596",1987
Cryptonomicon (Mass Market Paperback),Neal Stephenson,4.24,"106,281",1999
Landline (Hardcover),Rainbow Rowell,3.55,"158,579",2014
The Invisible Man (Paperback),H.G. Wells,3.65,"170,921",1897
Beautiful Ruins (Hardcover),Jess Walter,3.67,"167,706",2012
Brideshead Revisited (Paperback),Evelyn Waugh,4.00,"98,786",1945
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,"785,674",2012
Conversations with Friends (Kindle Edition),Sally Rooney,3.83,"214,089",2017
"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,3.94,"205,072",2014
Cannery Row (Cannery Row #1),John Steinbeck,4.05,"119,415",1945
Lonesome Dove (Lonesome Dove #1),Larry McMurtry,4.48,"165,701",1985
Under the Dome (Hardcover),Stephen King,3.90,"279,948",2009
