book_title,author_name,ratings,num_of_ratings,date_published
The Shack (Kindle Edition),William Paul Young,3.79,"582,420",2007
White Oleander (Paperback),Janet Fitch,3.97,"336,768",1999
Everything Is Illuminated (Paperback),Jonathan Safran Foer,3.88,"174,130",2002
Lincoln in the Bardo (Hardcover),George Saunders,3.75,"137,000",2017
As I Lay Dying (Paperback),William Faulkner,3.72,"145,747",1930
The Screwtape Letters (Kindle Edition),C.S. Lewis,4.23,"369,616",1942
A Portrait of the Artist as a Young Man (Paperback),James Joyce,3.62,"135,805",1916
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,3.96,"450,996",1999
"The Good Earth (House of Earth, #1)",Pearl S. Buck,3.99,"233,789",1931
Norse Mythology (Paperback),Neil Gaiman,4.08,"261,880",2017
The Iliad (Paperback),Homer,3.88,"384,360",-800
"My Sister, the Serial Killer (Hardcover)",Oyinkan Braithwaite,3.72,"209,817",2018
We Were Liars (Kindle Edition),E. Lockhart,3.79,"702,774",2014
The Overstory (Paperback),Richard Powers,4.11,"109,140",2018
Franny and Zooey (Paperback),J.D. Salinger,3.97,"196,265",1957
Snow Crash (Kindle Edition),Neal Stephenson,4.02,"252,513",1992
Kindred (Paperback),Octavia E. Butler,4.27,"136,045",1979
"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,4.10,"260,741",2004
The Magus (Paperback),John Fowles,4.05,"54,007",1965
"MaddAddam (MaddAddam, #3)",Margaret Atwood,3.98,"71,941",2013
Interior Chinatown (Hardcover),Charles Yu,4.02,"35,837",2020
"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,4.02,"359,523",2004
"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,4.19,"271,931",1935
Villette (Paperback),Charlotte Brontë,3.77,"64,158",1853
The Imperfectionists (Hardcover),Tom Rachman,3.55,"51,531",2010
Jaws (Jaws #1),Peter Benchley,3.96,"151,213",1974
The Story of the Lost Child (The Neapolitan Novels #4),Elena Ferrante,4.41,"98,229",2014
"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie,4.02,"123,365",1936
The Humans (Hardcover),Matt Haig,4.08,"76,807",2013
Winter Garden (Hardcover),Kristin Hannah,4.20,"168,834",2010
Spinning Silver (Kindle Edition),Naomi Novik,4.20,"97,541",2018
Home Fire (Hardcover),Kamila Shamsie,4.05,"51,370",2017
Let the Right One In (Hardcover),John Ajvide Lindqvist,4.02,"102,715",2004
One Plus One (Paperback),Jojo Moyes,3.95,"159,662",2014
The Accidental Tourist (Paperback),Anne Tyler,3.89,"102,792",1985
Diary (Paperback),Chuck Palahniuk,3.64,"81,743",2003
"Austenland (Austenland, #1)",Shannon Hale,3.55,"88,118",2007
"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,4.18,"138,098",2007
The Pilot's Wife (Paperback),Anita Shreve,3.54,"95,216",1998
Luster (Hardcover),Raven Leilani,3.60,"56,287",2020
Erotic Stories for Punjabi Widows (Hardcover),Balli Kaur Jaswal,3.92,"72,804",2017
"The Bourne Supremacy (Jason Bourne, #2)",Robert Ludlum,4.09,"181,242",1986
Einstein's Dreams (Paperback),Alan Lightman,4.07,"37,150",1992
"Along Came a Spider (Alex Cross, #1)",James Patterson,4.11,"425,417",1993
The Wife Between Us (Hardcover),Greer Hendricks,3.85,"272,459",2018
The Children Act (Hardcover),Ian McEwan,3.70,"74,023",2014
The Day of the Jackal (Mass Market Paperback),Frederick Forsyth,4.24,"134,090",1971
The Exorcist (Mass Market Paperback),William Peter Blatty,4.19,"197,761",1971
Shanghai Girls (Shanghai Girls #1),Lisa See,3.88,"152,067",2009
For One More Day (Hardcover),Mitch Albom,4.08,"137,788",2006
"Rivers of London (Rivers of London, #1)",Ben Aaronovitch,3.85,"114,066",2011
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.09,"454,650",2018
"Clear and Present Danger (Jack Ryan, #5; Jack Ryan Universe, #6)",Tom Clancy,4.12,"135,873",1989
العصبي (Paperback),أحمد جمال الدين رمضان,4.55,"2,268",2016
The House at Riverton (Paperback),Kate Morton,3.93,"113,611",2006
Amsterdam (Paperback),Ian McEwan,3.44,"46,953",1998
Valley of the Dolls (Paperback),Jacqueline Susann,3.78,"54,255",1966
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,4.02,"427,679",2013
"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,4.02,"87,089",1988
The Collector (Paperback),John Fowles,3.99,"65,340",1963
A Brief History of Seven Killings (Hardcover),Marlon James,3.89,"30,361",2014
The Time Keeper (Hardcover),Mitch Albom,3.87,"102,020",2012
The Witch of Blackbird Pond (Paperback),Elizabeth George Speare,3.98,"147,311",1958
The Merchant of Venice (Paperback),William Shakespeare,3.79,"169,492",1596
"The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,4.25,"236,683",1991
"Murder at the Vicarage (Miss Marple, #1)",Agatha Christie,4.06,"164,925",1930
The Last Song (Hardcover),Nicholas Sparks,4.15,"528,164",2008
This Is How You Lose the Time War (Kindle Edition),Amal El-Mohtar,3.96,"72,782",2019
"The Miserable Mill (A Series of Unfortunate Events, #4)",Lemony Snicket,3.85,"154,551",2000
"The Girl in the Spider's Web (Millennium, #4)",David Lagercrantz,3.77,"153,265",2015
"God Bless You, Mr. Rosewater (Kindle Edition)",Kurt Vonnegut Jr.,3.93,"64,388",1965
"Rabbit, Run (Kindle Edition)",John Updike,3.58,"58,519",1960
Firestarter (Mass Market Paperback),Stephen King,3.89,"204,523",1980
Of Human Bondage (Paperback),W. Somerset Maugham,4.09,"54,632",1915
King Lear (Mass Market Paperback),William Shakespeare,3.90,"196,798",1605
The Bookish Life of Nina Hill (Kindle Edition),Abbi Waxman,3.82,"75,929",2019
The Moon Is a Harsh Mistress (Paperback),Robert A. Heinlein,4.14,"125,985",1966
The Sun Is Also a Star (Hardcover),Nicola Yoon,4.03,"243,055",2016
"In a Dark, Dark Wood (Paperback)",Ruth Ware,3.71,"269,084",2015
Needful Things (Paperback),Stephen King,3.93,"226,545",1991
2666 (Paperback),Roberto Bolaño,4.13,"38,265",2004
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.03,"319,931",2012
Portnoy's Complaint (Paperback),Philip Roth,3.70,"64,449",1969
Ficciones (Paperback),Jorge Luis Borges,4.43,"54,862",1944
Dept. of Speculation (Hardcover),Jenny Offill,3.75,"48,748",2014
